,0
0,2018-08-09 20:25:00
1,2018-08-09 20:54:00
2,2018-08-09 21:04:00
3,2018-08-09 22:06:00
4,2018-08-09 23:14:00
5,2018-08-09 23:15:00
6,2018-08-09 23:17:00
7,2018-08-09 23:21:00
8,2018-08-09 23:26:00
9,2018-08-09 23:38:00
10,2018-08-10 01:49:00
11,2018-08-10 01:51:00
12,2018-08-10 02:01:00
13,2018-08-10 02:07:00
14,2018-08-10 11:43:00
15,2018-08-10 11:46:00
16,2018-08-10 15:31:00
17,2018-08-10 16:47:00
18,2018-08-10 21:06:00
19,2018-08-10 21:07:00
20,2018-08-10 21:08:00
21,2018-08-10 22:00:00
22,2018-08-11 18:33:00
23,2018-08-11 18:34:00
24,2018-08-11 18:42:00
25,2018-08-11 18:49:00
26,2018-08-11 18:50:00
27,2018-08-12 09:01:00
28,2018-08-12 18:10:00
29,2018-08-12 18:17:00
30,2018-08-12 19:25:00
31,2018-08-12 19:28:00
32,2018-08-12 19:34:00
33,2018-08-12 19:36:00
34,2018-08-12 19:37:00
35,2018-08-12 19:38:00
36,2018-08-12 19:40:00
37,2018-08-12 19:41:00
38,2018-08-12 19:42:00
39,2018-08-12 19:44:00
40,2018-08-12 19:45:00
41,2018-08-13 01:11:00
42,2018-08-13 02:21:00
43,2018-08-13 02:24:00
44,2018-08-13 02:25:00
45,2018-08-13 06:07:00
46,2018-08-13 06:09:00
47,2018-08-13 06:10:00
48,2018-08-13 10:41:00
49,2018-08-13 17:00:00
50,2018-08-14 01:22:00
51,2018-08-14 01:23:00
52,2018-08-14 02:46:00
53,2018-08-14 02:50:00
54,2018-08-14 02:51:00
55,2018-08-14 02:52:00
56,2018-08-14 02:53:00
57,2018-08-14 02:55:00
58,2018-08-14 02:58:00
59,2018-08-14 03:00:00
60,2018-08-14 14:27:00
61,2018-08-14 14:35:00
62,2018-08-17 17:11:00
63,2018-08-17 22:08:00
64,2018-08-17 22:15:00
65,2018-08-23 00:36:00
66,2018-08-23 00:37:00
67,2018-08-23 06:37:00
68,2018-08-23 06:38:00
69,2018-08-23 06:40:00
70,2018-08-23 10:07:00
71,2018-08-23 10:08:00
72,2018-08-23 18:16:00
73,2018-08-23 18:18:00
74,2018-08-23 18:26:00
75,2018-08-23 18:29:00
76,2018-08-23 18:39:00
77,2018-08-23 18:40:00
78,2018-08-23 18:43:00
79,2018-08-23 18:44:00
80,2018-08-23 18:52:00
81,2018-08-23 22:56:00
82,2018-08-24 05:08:00
83,2018-08-24 11:31:00
84,2018-08-24 11:33:00
85,2018-08-24 23:48:00
86,2018-08-25 01:23:00
87,2018-08-25 01:26:00
88,2018-08-25 01:30:00
89,2018-08-25 06:20:00
90,2018-08-26 03:37:00
91,2018-08-26 19:09:00
92,2018-08-26 19:11:00
93,2018-08-26 19:12:00
94,2018-08-26 19:13:00
95,2018-08-26 19:14:00
96,2018-08-27 06:58:00
97,2018-08-27 07:25:00
98,2018-08-27 07:34:00
99,2018-08-27 07:35:00
100,2018-08-27 07:58:00
101,2018-08-28 15:56:00
102,2018-08-28 17:54:00
103,2018-08-28 17:58:00
104,2018-08-29 08:29:00
105,2018-08-29 08:39:00
106,2018-08-29 08:40:00
107,2018-08-29 19:31:00
108,2018-08-30 07:19:00
109,2018-08-30 12:27:00
110,2018-08-30 12:28:00
111,2018-08-30 17:54:00
112,2018-08-30 18:16:00
113,2018-08-31 01:46:00
114,2018-08-31 06:35:00
115,2018-08-31 06:47:00
116,2018-08-31 06:48:00
117,2018-09-01 03:59:00
118,2018-09-01 05:08:00
119,2018-09-01 05:21:00
120,2018-09-01 05:38:00
121,2018-09-01 05:39:00
122,2018-09-01 05:40:00
123,2018-09-01 08:10:00
124,2018-09-02 08:41:00
125,2018-09-02 10:44:00
126,2018-09-06 09:16:00
127,2018-09-06 17:04:00
128,2018-09-06 17:09:00
129,2018-09-06 17:12:00
130,2018-09-06 17:14:00
131,2018-09-07 02:29:00
132,2018-09-07 10:33:00
133,2018-09-07 16:11:00
134,2018-09-08 08:35:00
135,2018-09-09 21:17:00
136,2018-09-09 21:20:00
137,2018-09-10 02:35:00
138,2018-09-10 04:18:00
139,2018-09-10 16:55:00
140,2018-09-10 22:32:00
141,2018-09-11 03:15:00
142,2018-09-11 03:16:00
143,2018-09-11 03:17:00
144,2018-09-11 17:42:00
145,2018-09-11 17:52:00
146,2018-09-14 01:45:00
147,2018-09-14 13:13:00
148,2018-09-15 16:50:00
149,2018-09-17 15:05:00
150,2018-09-17 17:25:00
151,2018-09-18 00:44:00
152,2018-09-18 21:39:00
153,2018-09-19 13:05:00
154,2018-09-19 13:13:00
155,2018-09-19 23:00:00
156,2018-09-20 13:04:00
