,parquetFile,fileName,coinTag,pairedCurr,coefVariation,meanC,stdDevC,meanVol
1,absusd.gzip,absusd.csv,abs,usd,0.6055156109349948,0.018881976715988492,0.01143333166684212,3604.4599515615905
3,adausd.gzip,adausd.csv,ada,usd,0.22768759217272458,0.1314064900184242,0.029919627308164172,7122.491992494362
5,agiusd.gzip,agiusd.csv,agi,usd,0.6285572451630579,0.10812143229540919,0.06796050962668648,3476.9871962504913
6,aiousd.gzip,aiousd.csv,aio,usd,1.1615138464405437,0.845182390345919,0.9816910491545013,803.6568812069744
8,algusd.gzip,algusd.csv,alg,usd,0.6521038428970641,0.3665352801864802,0.23901906476695586,2097.918096997864
12,ampusd.gzip,ampusd.csv,amp,usd,0.37420602233900524,1.0510224405259188,0.39329892685823775,496.12532192485895
16,antusd.gzip,antusd.csv,ant,usd,0.5734959636649694,2.98188638447519,1.7100998056040504,141.81741964302307
17,astusd.gzip,astusd.csv,ast,usd,0.8126674962452308,0.07645006478873238,0.06212848273964482,5174.112601250165
20,atousd.gzip,atousd.csv,ato,usd,0.23985870363876133,4.948256305730015,1.1868823427647277,132.86146699903833
21,aucusd.gzip,aucusd.csv,auc,usd,1.1893914206523344,0.06377104575250837,0.07584873470406095,8842.734674405894
22,avaxusd.gzip,avaxusd.csv,avax,usd,,,,
24,avtusd.gzip,avtusd.csv,avt,usd,0.46899237635409735,2.98759442382743,1.4011590084130767,507.2876460383338
25,b21xusd.gzip,b21xusd.csv,b21x,usd,,,,
27,balusd.gzip,balusd.csv,bal,usd,101.00276020798891,77300.77458460633,7807591.599260798,9.393428837952575
29,bandusd.gzip,bandusd.csv,band,usd,,,,
33,batusd.gzip,batusd.csv,bat,usd,0.5003815836127045,0.3338058057526764,0.167030277701639,2625.790412199014
34,bchabcusd.gzip,bchabcusd.csv,bchabc,usd,,,,
35,bchnusd.gzip,bchnusd.csv,bchn,usd,,,,
36,bftusd.gzip,bftusd.csv,bft,usd,0.48823756670138047,0.1610216291118828,0.07861680838387783,2857.240032309462
37,bntusd.gzip,bntusd.csv,bnt,usd,0.4782721531903808,1.1603870014012143,0.5549807896942882,188.6685024233956
38,boxusd.gzip,boxusd.csv,box,usd,0.7363954556378607,0.013894928654331373,0.010232162317461917,40541.73455631917
40,bsvusd.gzip,bsvusd.csv,bsv,usd,0.41633316752241994,165.12772076012803,68.74814702982177,31.579722838633565
47,btcusd.gzip,btcusd.csv,btc,usd,0.9464436229263967,5091.628770327874,4818.939579985387,17.97171680505429
51,btgusd.gzip,btgusd.csv,btg,usd,1.0534450177104178,96.00244502834425,101.13329740312753,65.06088413030793
52,btseusd.gzip,btseusd.csv,btse,usd,,,,
53,bttusd.gzip,bttusd.csv,btt,usd,2.563869866030866,0.0012014891014354827,0.0030804617015349365,462601.5549268968
54,cbtusd.gzip,cbtusd.csv,cbt,usd,0.7310165303442417,0.020583862829581995,0.015047143986762835,6017.389520678495
55,chzusd.gzip,chzusd.csv,chz,usd,0.4280379165148471,0.015431407035546614,0.006605227316387926,8335.534182909329
57,clousd.gzip,clousd.csv,clo,usd,0.4342568493115218,0.0013868422041823922,0.0006022457260804919,16442.274139361005
58,cndusd.gzip,cndusd.csv,cnd,usd,0.5409600882085123,0.01776490110769231,0.009610102470232728,8496.885701748546
60,cnnusd.gzip,cnnusd.csv,cnn,usd,11.039630312286333,0.0002726606637931034,0.003010072928978457,538286.8499736371
61,compusd.gzip,compusd.csv,comp,usd,,,,
63,ctxusd.gzip,ctxusd.csv,ctx,usd,0.25564750978214656,0.5314586013780354,0.13586606799459722,194.46724932567395
66,daiusd.gzip,daiusd.csv,dai,usd,0.013579043721564642,1.0079867516024732,0.013687496170767902,1063.681001505271
67,dappusd.gzip,dappusd.csv,dapp,usd,,,,
70,datusd.gzip,datusd.csv,dat,usd,0.8645516783711149,0.09354580970723353,0.08087518678697368,11063.229723806511
71,dgbusd.gzip,dgbusd.csv,dgb,usd,0.3626736486044645,0.018464232053589283,0.00669649040755473,20633.690716725512
72,dgxusd.gzip,dgxusd.csv,dgx,usd,0.0953095580414221,46.7623878163192,4.456902515734964,1.7307577608319007
74,dogusd.gzip,dogusd.csv,dog,usd,0.16747513583608659,3296.5907298602947,552.0969802793367,0.3189114262880271
